BBLCOUNT        1.0         0
0x7fc1ab22e7df 1 3 12
0x7fc1ab22e608 1 3 13
0x7fc1ab22e615 1 2 5
0x7fc1ab22e61a 1 3 9
0x7fc1ab22e623 1 2 8
0x7fc1ab22dfb5 34 4 16
0x7fc1ab22d9d3 12 2 9
0x7fc1ab22d9dc 12 3 11
0x7fc1ab22e580 12 13 46
0x7fc1ab22e5ae 12 3 12
0x7fc1ab22e5ba 1 1 2
0x7fc1ab22e1f0 12 8 15
0x7fc1ab22dfca 17 4 11
0x7fc1ab22dfc5 17 2 5
0x7fc1ab22dfb5 17 4 16
0x7fc1ab22dfc5 34 2 5
0x7fc1ab22e8d1 1 4 17
0x7fc1ab22dfa8 34 3 13
0x7fc1ab22dfca 293 4 11
0x7fc1ab22dfc5 259 2 5
0x7fc1ab22dfb5 259 4 16
0x7fc1ab22dfa0 270 5 21
0x7fc1ab22e002 34 3 10
0x7fc1ab22dff9 34 2 9
0x7fc1ab22dfe8 288 4 17
0x7fc1ab22df96 18 6 31
0x7fc1ab22df90 89 2 6
0x7fc1ab22e719 1 6 36
0x7fc1ab22ea0c 1 19 67
0x7fc1ab22ea4f 1 3 10
0x7fc1ab22ea59 1 4 26
0x7fc1ab22e650 1 2 8
0x7fc1ab22e658 1 3 7
0x7fc1ab22e65f 1 9 34
0x7fc1ab22e681 0 26 103
0x7fc1ab22e670 9 6 17
0x7fc1ab22e681 1 26 103
0x7fc1ab22e703 1 4 14
0x7fc1ab22e711 1 3 8
0x7fc1ab22e9fb 1 3 17
0x7fc1ab22e73d 1 5 25
0x7fc1ab22e756 1 3 12
0x7fc1ab22e762 1 6 33
0x7fc1ab22e7d5 1 2 10
0x7fc1ab22e7b5 11 6 32
0x7fc1ab22e79b 11 6 26
0x7fc1ab22e783 1 3 9
0x7fc1ab22e796 1 2 5
0x7fc1ab22e79b 1 6 26
0x7fc1ab22e7b5 1 6 32
0x7fc1ab22e971 1 5 21
0x7fc1ab22e8e2 1 6 20
0x7fc1ab22e8f6 1 3 8
0x7fc1ab22e8fe 1 4 14
0x7fc1ab22e90c 1 2 4
0x7fc1ab22e910 0 2 7
0x7fc1ab22e917 0 2 8
0x7fc1ab22e917 1 2 8
0x7fc1ab22e91f 1 3 11
0x7fc1ab22e92a 1 14 57
0x7fc1ab22e963 1 4 14
0x7fc1ab22d9cb 12 2 8
0x7fc1ab22e986 1 2 8
0x7fc1ab22e98e 1 1 5
0x7fc1ab22e62b 1 2 14
0x7fc1ab22e639 0 4 23
0x7fc1ab22e650 0 2 8
0x7fc1ab22e993 1 6 33
0x7fc1ab22e9b4 1 3 10
0x7fc1ab22e9be 1 4 19
0x7fc1ab22e9d1 1 2 9
0x7fc1ab22e9da 1 8 33
0x7fc1ab22cff8 1 2 13
0x7fc1ab22dfd8 16 2 10
0x7fc1ab22e016 0 5 31
0x7fc1ab22e010 2 2 6
0x7fc1ab22e03e 0 5 31
0x7fc1ab22e038 5 2 6
0x7fc1ab22e066 0 5 31
0x7fc1ab22e060 13 2 6
0x7fc1ab22e092 0 5 31
0x7fc1ab22cfea 1 2 5
0x7fc1ab22cfef 0 2 9
0x7fc1ab22cff8 0 2 13
0x7fc1ab22dfe2 16 5 23
0x7fc1ab22d005 0 6 39
0x7fc1ab22d140 1 3 9
0x7fc1ab22d156 1 2 5
0x7fc1ab22d15b 1 4 16
0x7fc1ab22d16b 0 3 13
0x7fc1ab22d150 12 4 11
0x7fc1ab22d15b 11 4 16
0x7fc1ab22d16b 1 3 13
0x7fc1ab22d178 1 2 9
0x7fc1ab22d181 1 2 8
0x7fc1ab22d22e 12 3 17
0x7fc1ab22e790 12 4 11
0x7fc1ab22d135 1 1 5
0x7fc1ab22cf61 1 6 27
0x7fc1ab22cf7c 1 2 4
0x7fc1ab22cf80 0 3 10
0x7fc1ab22cf8a 0 9 18
0x7fc1ab22cfc8 1 4 34
0x7fc1ab22d198 13 4 16
0x7fc1ab22d249 0 4 17
0x7fc1ab22d23f 0 3 10
0x7fc1ab22d19b 1 3 13
0x7fc1ab22d217 12 3 15
0x7fc1ab22d1fd 12 5 26
0x7fc1ab22d1e9 12 4 20
0x7fc1ab22d1e2 0 5 27
0x7fc1ab22d1dc 12 2 6
0x7fc1ab22d1cf 12 3 13
0x7fc1ab22d9f0 12 7 22
0x7fc1ab22d9e7 12 2 9
0x7fc1ab22e5f6 1 8 15
0x7fc1ab22dff9 0 2 9
0x7fc1ab22e182 0 5 31
0x7fc1ab22da6d 12 4 11
0x7fc1ab22da78 0 6 33
0x7fc1ab22daa3 12 2 10
0x7fc1ab22daad 0 2 9
0x7fc1ab22e148 19 2 10
0x7fc1ab22df22 1 2 13
0x7fc1ab22df11 1 3 17
0x7fc1ab22def6 1 6 27
0x7fc1ab22deee 1 2 8
0x7fc1ab22e1b2 0 5 31
0x7fc1ab22e1a8 111 2 10
0x7fc1ab22da61 12 2 12
0x7fc1ab22e178 6 2 10
0x7fc1ab22e834 11 7 33
0x7fc1ab22e828 12 4 12
0x7fc1ab22e87a 1 6 31
0x7fc1ab22e85f 12 6 27
0x7fc1ab22e855 12 3 10
0x7fc1ab22d994 12 4 17
0x7fc1ab22d9a5 12 3 15
0x7fc1ab22d9b4 12 2 8
0x7fc1ab22d9bc 12 3 15
0x7fc1ab22d960 12 15 52
0x7fc1ab22d1a8 1 2 6
0x7fc1ab22d1ae 1 6 33
0x7fc1ab22e088 7 2 10
0x7fc1ab22e0c2 0 5 31
0x7fc1ab22e0b8 3 2 10
0x7fc1ab22e0f2 0 5 31
0x7fc1ab22e0e8 5 2 10
0x7fc1ab22e122 0 5 31
0x7fc1ab22e118 46 2 10
0x7fc1ab22e152 0 5 31
0x7fc1ab22d118 1 5 29
0x7fc1ab22d994 0 4 17
0x7fc1ab22d9a5 0 3 15
0x7fc1ab22da10 12 2 12
0x7fc1ab22da1c 12 3 8
0x7fc1ab22da24 0 2 5
0x7fc1ab22da29 0 8 43
0x7fc1ab22da29 12 8 43
0x7fc1ab22da54 12 3 8
0x7fc1ab22da5c 0 2 5
0x7fc1ab22da61 0 2 12
0x7fc1ab22fbc0 1 15 84
0x7fc1ab22fc14 0 23 115
0x7fc1ab22fc90 1 7 38
0x7fc1ab22fc14 1 23 115
0x7fc1ab230380 1 16 81
0x7fc1ab2305b0 1 5 29
0x7fc1ab2304d4 0 9 38
0x7fc1ab2304bc 1 5 24
0x7fc1ab230622 1 4 18
0x7fc1ab230564 0 3 12
0x7fc1ab23054f 1 4 21
0x7fc1ab230547 1 2 8
0x7fc1ab2305cd 1 1 5
0x7fc1ab2303e0 1 11 49
0x7fc1ab2304d4 1 9 38
0x7fc1ab23053c 1 3 11
0x7fc1ab23052d 1 4 15
0x7fc1ab230521 1 3 12
0x7fc1ab230514 1 3 13
0x7fc1ab23050c 1 2 8
0x7fc1ab230500 1 3 12
0x7fc1ab23043e 0 2 5
0x7fc1ab23042b 1 4 19
0x7fc1ab2305f5 1 1 5
0x7fc1ab2305d8 1 5 29
0x7fc1ab23041a 1 4 17
0x7fc1ab230411 1 2 9
0x7fc1ab234940 1 4 11
0x7fc1ab23492a 1 3 9
0x7fc1ab234940 1 4 11
0x7fc1ab234933 3 4 13
0x7fc1ab234920 3 6 19
0x7fc1ab23494b 0 5 16
0x7fc1ab234933 1 4 13
0x7fc1ab2342c0 1 3 10
0x7fc1ab23494b 1 5 16
0x7fc1ab234355 1 5 10
0x7fc1ab234338 1 5 29
0x7fc1ab2342ca 0 5 10
0x7fc1ab23495b 1 6 13
0x7fc1ab234940 0 4 11
0x7fc1ab234933 1 4 13
0x7fc1ab23490c 1 4 16
0x7fc1ab234904 1 3 8
0x7fc1ab2348f8 1 3 12
0x7fc1ab2348f8 0 3 12
0x7fc1ab2348f3 0 2 5
0x7fc1ab2348ea 1 3 9
0x7fc1ab2348f3 1 2 5
0x7fc1ab2348a0 1 7 20
0x7fc1ab2348b4 1 11 40
0x7fc1ab2348dc 1 7 23
0x7fc1ab2348d0 4 4 12
0x7fc1ab2348dc 3 7 23
0x7fc1ab23428c 0 7 32
0x7fc1ab2342eb 1 3 11
0x7fc1ab234310 1 5 29
0x7fc1ab2342f6 1 2 4
0x7fc1ab2342fa 0 3 7
0x7fc1ab234280 0 3 12
0x7fc1ab234272 1 3 14
0x7fc1ab234260 1 6 18
0x7fc1ab2342e7 1 2 4
0x7fc1ab2342d8 1 3 15
0x7fc1ab2342ac 0 3 12
0x7fc1ab234301 0 4 15
0x7fc1ab234360 1 2 8
0x7fc1ab234280 1 3 12
0x7fc1ab234368 1 3 12
0x7fc1ab23432d 1 1 5
0x7fc1ab2342b8 0 2 8
0x7fc1ab234374 1 2 12
0x7fc1ab23429d 1 4 15
0x7fc1ab2342ac 1 3 12
0x7fc1ab236de0 2 18 87
0x7fc1ab236e40 2 5 10
0x7fc1ab236e4a 0 4 13
0x7fc1ab236e5f 2 4 7
0x7fc1ab236e80 1 2 7
0x7fc1ab236e80 1 2 7
0x7fc1ab23a907 3 9 18
0x7fc1ab23a8d2 21 3 9
0x7fc1ab23a8db 19 8 29
0x7fc1ab23a8d0 24 1 2
0x7fc1ab23a905 2 10 20
0x7fc1ab23a905 8 10 20
0x7fc1ab23a8fd 59 3 8
0x7fc1ab23a8f8 83 2 5
0x7fc1ab23a8db 64 8 29
0x7fc1ab23a8c8 0 1 2
0x7fc1ab23a8a0 13 15 40
0x7fc1ab23b736 42 5 18
0x7fc1ab23b748 42 3 8
0x7fc1ab23b790 34 9 17
0x7fc1ab23b720 38 9 22
0x7fc1ab23b792 12 8 15
0x7fc1ab23b750 42 2 6
0x7fc1ab23b720 1 9 22
0x7fc1ab23b720 7 9 22
0x7fc1ab23b7e2 1 2 4
0x7fc1ab23b7e6 0 2 8
0x7fc1ab23b750 4 2 6
0x7fc1ab23b748 4 3 8
0x7fc1ab23b736 4 5 18
0x7fc1ab23b7ee 0 2 7
0x7fc1ab23b7ee 12 2 7
0x7fc1ab23b7e6 12 2 8
0x7fc1ab23b7a8 46 6 21
0x7fc1ab23b7bd 0 1 2
0x7fc1ab23b7cc 46 2 7
0x7fc1ab23b7d3 0 4 15
0x7fc1ab23b7c0 1084 4 12
0x7fc1ab23b7cc 1050 2 7
0x7fc1ab23b7d3 15 4 15
0x7fc1ab23b7e2 14 2 4
0x7fc1ab23c0af 1 4 14
0x7fc1ab23c0bd 1 8 29
0x7fc1ab23c0da 1 2 6
0x7fc1ab23c0e0 0 2 6
0x7fc1ab23c0e6 0 6 25
0x7fc1ab23c108 2 6 25
0x7fc1ab23c121 2 1 2
0x7fc1ab23c090 1 11 31
0x7fc1ab23c0da 1 2 6
0x7fc1ab23c179 1 2 7
0x7fc1ab23c170 1 3 9
0x7fc1ab23c16d 1 1 3
0x7fc1ab23c15a 1 4 19
0x7fc1ab23c155 1 2 5
0x7fc1ab23c148 1 4 13
0x7fc1ab23c0bd 1 8 29
0x7fc1ab23c0b0 2 3 13
0x7fc1ab23c190 1 4 21
0x7fc1ab23c229 0 2 14
0x7fc1ab23c2f2 0 2 13
0x7fc1ab23c2c6 1 9 44
0x7fc1ab23c2c0 1 2 6
0x7fc1ab23c27c 0 3 11
0x7fc1ab23c269 1 5 19
0x7fc1ab23c210 2 8 25
0x7fc1ab23c237 0 1 2
0x7fc1ab23c239 2 2 13
0x7fc1ab23c246 2 3 12
0x7fc1ab23c252 2 6 23
0x7fc1ab23c2a7 1 5 19
0x7fc1ab23c2ba 0 2 5
0x7fc1ab23c31c 1 3 14
0x7fc1ab23c2da 1 4 24
0x7fc1ab23c2f2 0 2 13
0x7fc1ab23c2ff 0 1 2
0x7fc1ab23c301 2 2 12
0x7fc1ab23c30d 2 5 10
0x7fc1ab23c3e0 1 9 40
0x7fc1ab23c40d 2 13 56
0x7fc1ab23c408 2 2 5
0x7fc1ab23c3e0 1 9 40
0x7fc1ab23c4ce 0 2 5
0x7fc1ab23c5b0 6 9 22
0x7fc1ab23c5a7 6 2 9
0x7fc1ab23c59f 6 3 8
0x7fc1ab23c558 6 7 30
0x7fc1ab23c54c 6 3 12
0x7fc1ab23c540 6 3 12
0x7fc1ab23c4b4 6 7 26
0x7fc1ab23c490 6 12 36
0x7fc1ab26e872 2 5 20
0x7fc1ab26e86c 2 2 6
0x7fc1ab26e852 2 6 26
0x7fc1ab26e7e0 2 8 32
0x7fc1ab26e886 2 6 37
0x7fc1ab26e8eb 0 1 5
0x7fc1ab26e8d7 1 4 20
0x7fc1ab26e8b0 1 10 39
0x7fc1ab26e828 1 3 10
0x7fc1ab26e814 2 4 20
0x7fc1ab26e810 2 2 4
0x7fc1ab26e800 2 3 16
0x7fc1ab26e832 2 3 16
0x7fc1ab26e920 2 8 20
0x7fc1ab26e99d 0 2 5
0x7fc1ab26e98c 1 5 17
0x7fc1ab26e953 2 3 14
0x7fc1ab26e9c7 3 3 14
0x7fc1ab26e93d 2 4 22
0x7fc1ab26e934 3 3 9
0x7fc1ab26e9d5 0 5 23
0x7fc1ab26eaad 3 3 9
0x7fc1ab26eaa8 3 1 5
0x7fc1ab26e9ec 0 2 14
0x7fc1ab26e93d 0 4 22
0x7fc1ab26e934 0 3 9
0x7fc1ab26e99d 3 2 5
0x7fc1ab26ea78 3 2 7
0x7fc1ab26ea6d 1 5 7
0x7fc1ab26ea5f 1 3 14
0x7fc1ab26ea56 2 2 9
0x7fc1ab26ea4d 3 2 9
0x7fc1ab26ea44 3 2 9
0x7fc1ab26ea7f 0 2 8
0x7fc1ab26eae4 2 1 5
0x7fc1ab26ea98 3 3 9
0x7fc1ab26e93d 0 4 22
0x7fc1ab26e934 0 3 9
0x7fc1ab26e920 1 8 20
0x7fc1ab26ea90 3 2 8
0x7fc1ab26e9a2 0 3 17
0x7fc1ab26ea6d 2 5 7
0x7fc1ab26e9b8 2 4 15
0x7fc1ab26e9b3 1 5 20
0x7fc1ab26eadc 2 2 8
0x7fc1ab26eada 0 1 2
0x7fc1ab26ead1 0 2 9
0x7fc1ab26eac0 2 3 17
0x7fc1ab26e99d 0 2 5
0x7fc1ab26e978 2 10 37
0x7fc1ab26e96e 2 2 10
0x7fc1ab26e9a2 3 3 17
0x7fc1ab26ef24 0 1 2
0x7fc1ab26ef5a 2 3 13
0x7fc1ab26ef26 2 2 9
0x7fc1ab26ef1a 0 2 10
0x7fc1ab26ef0c 2 3 14
0x7fc1ab26eef6 1 4 22
0x7fc1ab26eeed 1 3 9
0x7fc1ab26ef2f 2 6 28
0x7fc1ab26eee0 1 4 13
0x7fc1ab26ef4b 2 5 15
0x7fc1ab26ef67 2 3 17
0x7fc1ab26ef7f 2 2 4
0x7fc1ab26ef83 2 4 9
0x7fc1ab26eee0 1 4 13
0x7fc1ab26eeed 1 3 9
0x7fc1ab26eef6 1 4 22
0x7fc1ab26f3c9 0 2 5
0x7fc1ab26f3fd 1 1 2
0x7fc1ab26f3ce 0 9 49
0x7fc1ab26f3c0 1 3 9
0x7fc1ab26f48e 1 6 29
0x7fc1ab26f486 1 3 8
0x7fc1ab26f475 1 5 17
0x7fc1ab26f45f 1 4 22
0x7fc1ab26f437 1 8 40
0x7fc1ab26f42b 1 3 12
0x7fc1ab26f400 1 10 43
0x7fc1ab26f4e0 1 2 10
0x7fc1ab26ff90 30 11 32
0x7fc1ab2700b1 30 4 15
0x7fc1ab2700c0 30 3 13
0x7fc1ab2700cd 0 2 8
0x7fc1ab270157 31 2 9
0x7fc1ab270160 0 3 13
0x7fc1ab27006f 0 2 5
0x7fc1ab27006f 29 2 5
0x7fc1ab27005b 30 5 20
0x7fc1ab27016d 0 3 17
0x7fc1ab270198 31 9 18
0x7fc1ab2701b0 30 4 13
0x7fc1ab26ffb0 30 3 12
0x7fc1ab26ffbc 30 6 17
0x7fc1ab270038 1 4 22
0x7fc1ab27002d 30 3 11
0x7fc1ab270026 31 2 7
0x7fc1ab27001d 31 2 9
0x7fc1ab26ffbc 1 6 17
0x7fc1ab26ffb0 1 3 12
0x7fc1ab26ff90 1 11 32
0x7fc1ab2701bd 2 2 8
0x7fc1ab270146 30 2 9
0x7fc1ab2701c5 2 2 5
0x7fc1ab270100 30 4 13
0x7fc1ab27010d 30 7 32
0x7fc1ab27012d 30 6 25
0x7fc1ab27004e 1 3 13
0x7fc1ab27005b 1 5 20
0x7fc1ab2700ec 30 5 20
0x7fc1ab27006f 1 2 5
0x7fc1ab2701ca 1 4 21
0x7fc1ab2701df 1 4 16
0x7fc1ab272588 1 3 7
0x7fc1ab27258f 1 1 2
0x7fc1ab272580 1 2 8
0x7fc1ab272588 1 3 7
0x7fc1ab272580 1 2 8
0x7fc1ab27258f 1 1 2
0x7fc1ab2740fc 1 2 8
0x7fc1ab2740f0 1 4 12
0x7fc1ab274104 0 2 7
0x7fc1ab274110 4 2 3
0x7fc1ab2740f0 3 4 12
0x7fc1ab2740fc 3 2 8
0x7fc1ab274104 0 2 7
0x7fc1ab2741d0 1 3 10
0x7fc1ab2741da 0 5 20
0x7fc1ab2741f0 2 3 9
0x7fc1ab2741da 0 5 20
0x7fc1ab2741d0 1 3 10
0x7fc1ab27421f 0 1 2
0x7fc1ab274200 1 8 21
0x7fc1ab274215 1 4 10
0x7fc1ab274228 1 3 6
0x7fc1ab274cb5 10 3 10
0x7fc1ab274cce 11 6 22
0x7fc1ab274d10 0 2 4
0x7fc1ab274d0a 0 2 6
0x7fc1ab274d05 11 2 5
0x7fc1ab274ce8 1 6 29
0x7fc1ab274cbf 0 2 5
0x7fc1ab274cb5 1 3 10
0x7fc1ab274c90 1 10 37
0x7fc1ab274c90 10 10 37
0x7fc1ab274cbf 10 2 5
0x7fc1ab274cf2 10 5 19
0x7fc1ab27a190 1 9 36
0x7fc1ab27a1bf 1 5 19
0x7fc1ab27a235 0 4 21
0x7fc1ab27a228 1 4 13
0x7fc1ab27a294 0 1 5
0x7fc1ab27a20b 1 7 26
0x7fc1ab27a288 1 2 12
0x7fc1ab27a207 0 8 30
0x7fc1ab27a1e1 1 9 38
0x7fc1ab27a1d2 1 4 15
0x7fc1ab27a1b4 0 6 30
0x7fc1ab27a2ee 1 1 5
0x7fc1ab27a2b0 1 9 21
0x7fc1ab27a2db 0 5 19
0x7fc1ab27a2c5 1 3 8
0x7fc1ab27a2db 1 5 19
0x7fc1ab27a2ee 0 1 5
0x7fc1ab27a2f3 1 2 5
0x7fc1ab27a2f8 0 6 24
0x7fc1ab27a310 0 11 32
0x7fc1ab27a2d0 1 4 11
0x7fc1ab27a31b 1 9 21
0x7fc1ab27a310 0 11 32
0x7fc1ab27a303 1 3 13
0x7fc1ab27a330 1 3 8
0x7fc1ab27a350 3 2 8
0x7fc1ab27a390 2 4 16
0x7fc1ab27a84b 2 4 15
0x7fc1ab27a841 2 3 10
0x7fc1ab27a81d 0 6 27
0x7fc1ab27a811 0 3 12
0x7fc1ab27a800 2 6 17
0x7fc1ab27aac7 11 6 24
0x7fc1ab27ab28 1 9 35
0x7fc1ab27abf0 57 2 5
0x7fc1ab27abf5 47 3 9
0x7fc1ab27abfe 0 4 18
0x7fc1ab27ac60 10 2 8
0x7fc1ab27aafa 10 7 24
0x7fc1ab27ab12 10 7 22
0x7fc1ab27ab28 10 9 35
0x7fc1ab27ab8a 1 6 20
0x7fc1ab27ab7a 1 5 16
0x7fc1ab27ab71 1 2 9
0x7fc1ab27aba3 1 4 16
0x7fc1ab27ab9e 1 2 5
0x7fc1ab27aaa0 11 10 39
0x7fc1ab27abb3 1 2 8
0x7fc1ab27abfe 0 4 18
0x7fc1ab27abf5 10 3 9
0x7fc1ab27abe7 10 3 14
0x7fc1ab27abdd 10 3 10
0x7fc1ab27ab5f 1 4 18
0x7fc1ab27abd0 10 3 13
0x7fc1ab27abc0 10 5 16
0x7fc1ab27aadf 1 4 13
0x7fc1ab27ab50 1 5 15
0x7fc1ab27ac70 2 2 6
0x7fc1ab27ac76 2 2 8
0x7fc1ab27ac90 1 8 42
0x7fc1ab27acba 1 5 18
0x7fc1ab27adb6 3 10 38
0x7fc1ab27ad7e 3 8 56
0x7fc1ab27ae30 1 4 16
0x7fc1ab27ae00 1 3 10
0x7fc1ab27ae0a 0 6 27
0x7fc1ab27ad0a 0 3 12
0x7fc1ab27ae40 1 2 7
0x7fc1ab27acf5 1 3 11
0x7fc1ab27acd0 3 6 17
0x7fc1ab27ace1 3 5 20
0x7fc1ab27acf5 2 3 11
0x7fc1ab27ad00 3 2 10
0x7fc1ab27ad16 0 3 14
0x7fc1ab27ade0 3 3 16
0x7fc1ab27adf0 3 2 8
0x7fc1ab27ad0a 3 3 12
0x7fc1ab27ad16 0 3 14
0x7fc1ab27ad24 0 2 8
0x7fc1ab27ad70 3 5 14
0x7fc1ab27ae60 3 4 10
0x7fc1ab27ae6a 0 3 10
0x7fc1ab27ae74 0 6 27
0x7fc1ab27ae94 3 4 11
0x7fc1ab27b10b 1 3 12
0x7fc1ab27b117 0 5 20
0x7fc1ab27b0a2 1 6 26
0x7fc1ab27aff9 1 9 18
0x7fc1ab27b0c9 1 8 42
0x7fc1ab27b0fb 1 3 16
0x7fc1ab27b0f3 1 2 8
0x7fc1ab27b090 1 1 6
0x7fc1ab27b0bc 1 1 5
0x7fc1ab27b086 1 2 10
0x7fc1ab27b080 1 1 6
0x7fc1ab27b0c1 1 3 8
0x7fc1ab27afb0 1 11 30
0x7fc1ab27afce 1 4 14
0x7fc1ab27afdc 0 2 4
0x7fc1ab27b096 1 3 12
0x7fc1ab27b418 1 4 15
0x7fc1ab27b068 1 5 24
0x7fc1ab27b905 1 6 14
0x7fc1ab27b8fb 2 2 2
0x7fc1ab27b8f0 3 5 11
0x7fc1ab27b900 1 1 5
0x7fc1ab27ba69 1 6 14
0x7fc1ab27ba5f 0 8 24
0x7fc1ab27ba4e 1 4 17
0x7fc1ab27ba48 2 2 6
0x7fc1ab27ba18 2 12 48
0x7fc1ab27ba10 2 2 8
0x7fc1ab27b96d 0 4 26
0x7fc1ab27b957 0 6 22
0x7fc1ab27b94c 2 2 11
0x7fc1ab27bac4 1 2 7
0x7fc1ab27ba90 1 2 4
0x7fc1ab27ba94 1 7 17
0x7fc1ab27b920 2 7 19
0x7fc1ab27b933 2 3 14
0x7fc1ab27b941 2 2 11
0x7fc1ab27babc 1 2 8
0x7fc1ab27baa8 1 3 9
0x7fc1ab27bab1 0 1 5
0x7fc1ab27bd00 1 2 8
0x7fc1ab27bb70 4 7 19
0x7fc1ab27bb83 4 3 10
0x7fc1ab27bb8d 3 3 13
0x7fc1ab27bbe0 1 2 11
0x7fc1ab27bbeb 0 3 16
0x7fc1ab27bbfb 0 3 13
0x7fc1ab27bc38 1 2 12
0x7fc1ab27bd08 1 6 23
0x7fc1ab27bbef 1 2 12
0x7fc1ab27bbfb 1 3 13
0x7fc1ab27bc08 1 13 48
0x7fc1ab27bc44 1 2 9
0x7fc1ab27bcc0 1 6 15
0x7fc1ab27bc50 1 4 15
0x7fc1ab27bc5f 1 2 9
0x7fc1ab27bc68 0 2 10
0x7fc1ab27bbd4 1 5 9
0x7fc1ab27bbb1 0 6 21
0x7fc1ab27bb8d 18 3 13
0x7fc1ab27bb83 18 3 10
0x7fc1ab27bb70 18 7 19
0x7fc1ab27bbd4 20 5 9
0x7fc1ab27bbcb 21 2 9
0x7fc1ab27bbc6 21 2 5
0x7fc1ab27bbb1 21 6 21
0x7fc1ab27bba7 21 2 10
0x7fc1ab27bb9a 21 3 13
0x7fc1ab27bba7 0 2 10
0x7fc1ab27bb9e 1 2 9
0x7fc1ab27bed1 2 4 22
0x7fc1ab27bf5d 3 6 14
0x7fc1ab27beb3 3 6 30
0x7fc1ab27bf19 1 3 12
0x7fc1ab27bf25 1 2 9
0x7fc1ab27bf2e 0 3 9
0x7fc1ab27bfc3 6 4 7
0x7fc1ab27c070 2 4 23
0x7fc1ab27bfeb 3 4 7
0x7fc1ab27bfd0 3 6 27
0x7fc1ab27bfc3 0 4 7
0x7fc1ab27bfbf 3 2 4
0x7fc1ab27bfb3 3 2 12
0x7fc1ab27bfa4 0 2 13
0x7fc1ab27bf90 3 3 20
0x7fc1ab27bf7c 3 3 20
0x7fc1ab27bf7c 0 3 20
0x7fc1ab27bf6b 2 3 17
0x7fc1ab27bef5 0 2 10
0x7fc1ab27c087 1 2 6
0x7fc1ab27bf3c 1 1 5
0x7fc1ab27bf37 1 2 5
0x7fc1ab27bf2e 1 3 9
0x7fc1ab27bf25 2 2 9
0x7fc1ab27bf0a 2 6 27
0x7fc1ab27bf01 2 2 9
0x7fc1ab27beff 0 1 2
0x7fc1ab27c01a 3 1 5
0x7fc1ab27c03c 2 2 8
0x7fc1ab27bee7 2 3 14
0x7fc1ab27c054 1 4 19
0x7fc1ab27c020 2 3 17
0x7fc1ab27c031 0 2 9
0x7fc1ab27be74 3 3 18
0x7fc1ab27be86 3 4 16
0x7fc1ab27be96 0 2 14
0x7fc1ab27c03a 0 1 2
0x7fc1ab27c044 2 1 5
0x7fc1ab27bea6 3 2 13
0x7fc1ab27be40 9 6 18
0x7fc1ab27be52 3 3 14
0x7fc1ab27bff8 3 7 34
0x7fc1ab27be60 0 6 38
0x7fc1ab27c0eb 0 2 14
0x7fc1ab27c0c9 1 3 18
0x7fc1ab27c0db 1 4 16
0x7fc1ab27c134 1 4 22
0x7fc1ab27c27a 1 1 5
0x7fc1ab27c258 1 7 34
0x7fc1ab27c0b5 0 6 38
0x7fc1ab27c0a3 1 5 18
0x7fc1ab27c0fb 1 2 13
0x7fc1ab27c24b 1 4 7
0x7fc1ab27c230 1 6 27
0x7fc1ab27c205 0 4 7
0x7fc1ab27c201 1 2 4
0x7fc1ab27c1f5 1 2 12
0x7fc1ab27c1e6 0 2 13
0x7fc1ab27c1d2 1 3 20
0x7fc1ab27c1ba 1 5 24
0x7fc1ab27c2a4 1 2 11
0x7fc1ab27c090 2 7 19
0x7fc1ab27c29c 1 2 8
0x7fc1ab27c1a3 1 6 23
0x7fc1ab27c108 1 9 44
0x7fc1ab27c14a 1 3 14
0x7fc1ab27c158 0 2 10
0x7fc1ab27c205 1 4 7
0x7fc1ab27c162 0 1 2
0x7fc1ab27c164 1 2 9
0x7fc1ab27c16d 1 10 54
0x7fc1ab27c29a 0 1 2
0x7fc1ab27c280 1 3 17
0x7fc1ab27c291 0 2 9
0x7fc1ab27c51e 2 3 7
0x7fc1ab27c510 2 5 14
0x7fc1ab27c537 2 8 21
0x7fc1ab27c525 2 4 14
0x7fc1ab27c5d4 18 3 13
0x7fc1ab27c5ca 0 4 23
0x7fc1ab27c5c0 17 3 10
0x7fc1ab27c5ca 0 4 23
0x7fc1ab27c5c0 1 3 10
0x7fc1ab27c650 1 2 5
0x7fc1ab27c63f 2 5 17
0x7fc1ab27c62f 0 3 12
0x7fc1ab27c624 1 2 11
0x7fc1ab27c61c 1 2 8
0x7fc1ab27c60f 1 4 13
0x7fc1ab27c608 1 3 7
0x7fc1ab27c655 0 3 7
0x7fc1ab27c61c 1 2 8
0x7fc1ab27c624 1 2 11
0x7fc1ab27c62f 0 3 12
0x7fc1ab27c6f8 2 3 13
0x7fc1ab27c705 0 2 8
0x7fc1ab27c5f0 2 5 14
0x7fc1ab27c70d 0 2 8
0x7fc1ab27c5fe 1 4 17
0x7fc1ab27c60f 1 4 13
0x7fc1ab27c8bf 2 2 4
0x7fc1ab27c8a0 5 9 31
0x7fc1ab27c8c3 5 12 38
0x7fc1ab27c8c3 0 12 38
0x7fc1ab27c912 2 4 12
0x7fc1ab27c8f0 2 7 34
0x7fc1ab27c955 0 3 10
0x7fc1ab27c95f 0 3 13
0x7fc1ab27c920 2 7 29
0x7fc1ab27c93d 2 5 19
0x7fc1ab27c988 0 2 5
0x7fc1ab27c93d 0 5 19
0x7fc1ab27c971 0 5 23
0x7fc1ab27c96c 2 2 5
